Ra,Dec,FluxInMCrab,FluxErr,Sign.
291.61,13.368,44,0.08,5.5
292.55,34.19,91,0.15,6.07
294.42,-6.24,100,0.14,7.14
295.05,-10.446,255,0.15,17
295.06,-30.264,104,0.18,5.78
295.69,-10.331,317,0.16,19.81
296,21.31,75,0.12,6.25
296.89,44.883,107,0.14,7.64
297.28,-10.59,77,0.15,5.13
297.4,30.211,556,0.13,42.77
298.02,2.445,61,0.13,4.69
298.93,32.094,1013,0.12,84.42
299.59,35.202,84564,0.11,7687.6
299.6,19.69,66,0.14,4.71
299.86,40.736,429,0.11,39
300.1,32.166,215,0.12,17.92
301.74,-34.548,87,0.17,5.12
302.19,-61.099,217,0.45,4.82
303.98,37.23,86,0.1,8.6
304.65,40.706,129,0.09,14.33
305.41,43.996,72,0.09,8
307.14,25.746,248,0.17,14.59
308.06,37.638,8859,0.09,984.33
308.11,40.959,13221,0.09,1469
309.3,41.85,53,0.09,5.89
310.58,75.141,244,0.34,7.18
311.04,-10.727,413,0.3,13.77
311.04,28.51,141,0.16,8.81
314.21,49.679,70,0.1,7
315.9,45.753,919,0.09,102.11
318.74,82.045,199,0.37,5.38
319.44,51.65,101,0.1,10.1
319.91,33.56,100,0.15,6.67
320.96,42.316,98,0.1,9.8
321.16,50.973,752,0.1,75.2
321.93,56.943,224,0.11,20.36
322.5,12.172,470,0.5,9.4
323.45,51.122,250,0.1,25
323.63,47.614,140,0.2,7
323.97,47.49,99,0.1,9.9
325.71,43.574,307,0.12,25.58
326.17,38.319,2342,0.15,156.13
330.49,-31.864,433,0.31,13.97
330.64,42.267,114,0.16,7.12
331.99,54.513,859,0.11,78.09
334.4,-8.301,247,0.44,5.61
337.32,66.774,74,0.11,6.73
338.89,-26.021,191,0.3,6.37
339.18,-12.539,149,0.26,5.73
342.94,22.316,189,0.33,5.73
343.46,-17.616,369,0.21,17.57
343.49,16.143,718,0.25,28.72
345.51,15.965,172,0.25,6.88
345.82,8.879,318,0.36,8.83
346.17,-8.689,253,0.29,8.72
350.15,64.513,62,0.08,7.75
350.85,58.813,363,0.08,45.38
358.08,58.745,59,0.07,8.43
